ant_main_DMs+UNMs+WNMs,
Betweenness-W,0.144634351
HITS.authority,0.142767692
Closeness,0.128516111
Betweenness,0.108591385
Barycenter,0.10688509
Dep_In,0.046831547
EC_Par,0.040863134
NumPubOps,0.040212434
NumOps,0.039897209
Getters,0.031522391
IC_Par,0.03150769
NumAttr,0.02799487
EC_Attr,0.027053548
Setters,0.024561946
Dep_Out,0.02203781
IC_Attr,0.020363307
,
,
Mars_DMs+UNMs+WNMs,
PageRank-W,0.191365108
Eigenvector-W,0.186600596
HITS.authority-W,0.184152178
HITS.hub-W,0.183029777
Closeness-W,0.178863856
Barycenter-W,0.175410547
HITS.hub,0.149951055
PageRank,0.14930537
Betweenness-W,0.144200781
HITS.authority,0.142543455
Eigenvector,0.14183254
Closeness,0.127734002
Betweenness,0.111254407
Barycenter,0.106083878
Dep_In,0.04534539
EC_Par,0.041290213
NumPubOps,0.036543654
NumOps,0.035368707
Getters,0.029516269
IC_Par,0.028336935
EC_Attr,0.027896802
NumAttr,0.023153416
Setters,0.022817953
Dep_Out,0.019627372
IC_Attr,0.01772834
,
,
Maze_DMs+UNMs+WNMs,
PageRank-W,0.207072792
Eigenvector-W,0.202356034
HITS.authority-W,0.198640839
HITS.hub-W,0.19557818
Closeness-W,0.193532156
Barycenter-W,0.187667525
HITS.hub,0.162859957
PageRank,0.162194451
Eigenvector,0.154331871
Betweenness-W,0.154317973
HITS.authority,0.149790443
Closeness,0.134300843
Barycenter,0.116631574
Betweenness,0.116140957
Dep_In,0.04549724
EC_Par,0.041456923
NumPubOps,0.03604496
NumOps,0.035502982
EC_Attr,0.030402314
Getters,0.03028068
IC_Par,0.027634227
NumAttr,0.024368261
Setters,0.02250068
Dep_Out,0.019148748
IC_Attr,0.017510635
,
,
neuroph_DMs+UNMs+WNMs,
PageRank-W,0.218955899
Eigenvector-W,0.213691729
HITS.authority-W,0.210440404
Closeness-W,0.204802271
HITS.hub-W,0.204715829
Barycenter-W,0.195439997
PageRank,0.172098757
HITS.hub,0.170984608
Eigenvector,0.163305636
Betweenness-W,0.160528849
HITS.authority,0.160023239
Closeness,0.143111638
Betweenness,0.122162432
Barycenter,0.121007695
Dep_In,0.046789881
EC_Par,0.041505993
NumPubOps,0.03483413
NumOps,0.034549362
EC_Attr,0.030827561
Getters,0.029841241
IC_Par,0.027283776
NumAttr,0.023326775
Setters,0.0223868
Dep_Out,0.018727621
IC_Attr,0.016067807
,
,
PDFBox_DMs+UNMs+WNMs,
PageRank-W,0.200517546
Eigenvector-W,0.196072178
HITS.authority-W,0.19283315
Closeness-W,0.188081798
HITS.hub-W,0.187906327
Barycenter-W,0.179893754
PageRank,0.160948678
HITS.hub,0.15823215
Eigenvector,0.152230346
Betweenness-W,0.149428285
HITS.authority,0.149382171
Closeness,0.133080969
Betweenness,0.115168958
Barycenter,0.11423887
Dep_In,0.042968935
EC_Par,0.039259633
NumOps,0.033164972
NumPubOps,0.033015781
EC_Attr,0.030124323
Getters,0.027636575
IC_Par,0.026009288
NumAttr,0.022262933
Setters,0.021154503
Dep_Out,0.019470068
IC_Attr,0.016533895
,
,
tomcat_DMs+UNMs+WNMs,
PageRank-W,0.185904978
Eigenvector-W,0.18108974
HITS.authority-W,0.179202417
Closeness-W,0.174729542
HITS.hub-W,0.17448971
Barycenter-W,0.167776699
PageRank,0.145530238
Betweenness-W,0.14145418
HITS.hub,0.141351276
HITS.authority,0.137544045
Eigenvector,0.135683436
Closeness,0.119651487
Barycenter,0.102198206
Betweenness,0.100492706
Dep_In,0.038999345
EC_Par,0.036565746
NumOps,0.031481881
NumPubOps,0.031475301
EC_Attr,0.028078272
Getters,0.027008671
IC_Par,0.025242584
Setters,0.021806746
NumAttr,0.019677542
Dep_Out,0.018028697
IC_Attr,0.016643123
,
,
wro4j_DMs+UNMs+WNMs,
PageRank-W,0.184397275
Eigenvector-W,0.179835033
HITS.authority-W,0.177839525
Closeness-W,0.173604922
HITS.hub-W,0.17123015
Barycenter-W,0.163335747
PageRank,0.146143846
Betweenness-W,0.139674828
HITS.authority,0.138204129
HITS.hub,0.137439624
Eigenvector,0.136814399
Closeness,0.121123521
Betweenness,0.09874585
Barycenter,0.098372827
Dep_In,0.039862025
EC_Par,0.038152356
NumPubOps,0.030096867
NumOps,0.029796235
EC_Attr,0.0294066
Getters,0.026637329
IC_Par,0.025076393
Setters,0.021202162
NumAttr,0.019074471
Dep_Out,0.017808829
IC_Attr,0.01620831
,
,
Xerces_DMs+UNMs+WNMs,
PageRank-W,0.175311997
Eigenvector-W,0.170971565
HITS.authority-W,0.169160489
Closeness-W,0.165279367
HITS.hub-W,0.162985375
Barycenter-W,0.155203293
PageRank,0.140315399
Betweenness-W,0.133230672
HITS.authority,0.132281478
Eigenvector,0.131096231
HITS.hub,0.130425171
Closeness,0.116733071
Betweenness,0.094508022
Barycenter,0.094482033
Dep_In,0.036882444
EC_Par,0.035999337
NumPubOps,0.027719155
NumOps,0.027536822
EC_Attr,0.027179369
Getters,0.024376064
IC_Par,0.022866534
Setters,0.019766477
NumAttr,0.018153919
Dep_Out,0.016802257
IC_Attr,0.015058113
,
,
xuml_DMs+UNMs+WNMs,
PageRank-W,0.187253054
HITS.authority-W,0.181205664
Eigenvector-W,0.177052278
HITS.hub-W,0.175152765
Closeness-W,0.171319902
Barycenter-W,0.163794577
HITS.hub,0.14311775
PageRank,0.140588969
Eigenvector,0.132055817
Betweenness-W,0.128595094
HITS.authority,0.127781807
Closeness,0.111042453
Barycenter,0.09954065
Betweenness,0.091055758
Dep_In,0.032176206
EC_Par,0.032040114
NumPubOps,0.030891978
NumOps,0.030340725
Getters,0.026362177
IC_Par,0.025528349
EC_Attr,0.024496304
Setters,0.023108032
NumAttr,0.019463094
Dep_Out,0.017663405
IC_Attr,0.015507919
