NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
2,4,4,0,0,5,0,0,2,0,4,0,0,0,6.10E-16,0,0,0.000886806,0.00573542,1.36E-05,0.006333015,0.00230155,0.001315119,0.000755153,0.001241163,0
5,7,7,1,0,6,0,0,5,0,0,0.068376068,0,0,6.10E-16,-1.98E-21,0,0.000886806,0.28827187,0,0,2.41E-74,0.002103164,0,0.000691652,0
8,24,20,5,9,9,1,1,8,0,19,0.034188034,9.09E-06,0.00173913,9.09E-14,0.000128139,-7.60E-20,0.001640663,0.001393654,0.000892794,0.015996582,0.195822907,0.000174579,0.055341749,0.024283741,0
3,5,1,0,3,8,1,1,3,0,6,0.008547009,3.03E-06,0.00173913,9.09E-14,-3.10E-20,-5.06E-20,0.001640663,0.00728988,2.12E-05,0.000248447,9.81E-72,8.06E-06,1.52E-07,0.000838681,0
1,1,1,0,0,2,1,1,1,0,0,0.025641026,6.06E-06,0.00173913,9.09E-14,-7.77E-21,-5.93E-19,0.001640663,0.004502573,1.00E-04,0.000424117,2.17E-66,3.43E-07,0.000111196,0.001544373,0
1,3,3,1,0,3,1,0,1,0,3,0.008547009,6.06E-06,0.002318841,6.73E-12,-3.10E-20,-2.99E-19,0.002281393,0.000589623,6.36E-05,0.000416202,4.01E-64,4.20E-07,1.51E-07,0.001832605,0
1,3,3,1,0,1,0,0,1,0,0,0.025641026,0,0,6.10E-16,-1.31E-21,0,0.000886806,0.008629931,0,0,2.41E-74,8.21E-06,0,0.000691652,0
1,2,2,1,0,1,0,0,1,0,0,0.051282051,0,0,6.10E-16,-1.54E-20,0,0.000886806,0.00546741,0,0,2.41E-74,1.75E-06,0,0.000691652,0
0,1,1,0,0,2,1,1,0,0,1,0.008547009,3.03E-06,0.00173913,9.09E-14,1.82E-20,2.08E-21,0.001640663,0.027926672,2.73E-05,0.000226843,1.12E-68,2.59E-06,5.52E-05,0.000983141,0
2,3,3,1,0,2,0,0,2,0,0,0.025641026,0,0,6.10E-16,5.41E-23,0,0.000886806,0.296633791,0,0,2.41E-74,0.00099402,0,0.000691652,0
2,5,4,0,2,7,1,1,2,0,5,0.017094017,4.54E-06,0.00173913,9.09E-14,0.000484383,9.77E-09,0.001263735,0.010077187,0.000112104,0.000396101,6.30E-66,6.85E-05,7.68E-05,0.002413917,0
4,3,3,0,1,7,1,1,3,0,3,0.025641026,6.06E-06,0.00173913,9.09E-14,3.46E-08,1.34E-19,0.001640663,0.01693825,9.09E-06,6.21E-05,3.92E-71,0.000357285,6.91E-05,0.00098571,0
4,3,3,0,1,7,0,0,3,0,3,0.025641026,0,0,6.10E-16,3.46E-08,0,0.000886806,0.01693825,3.33E-05,0.00057971,4.22E-72,0.000357285,7.40E-06,0.000723158,0
1,3,3,0,1,5,6,0,1,0,3,0.008547009,2.58E-05,0.01173913,2.05E-11,3.56E-06,1.33E-06,0.005937551,0.000160806,3.03E-05,0.001129305,3.90E-68,2.26E-07,6.73E-05,0.001134689,0
8,6,2,0,1,10,1,1,6,0,9,0.076923077,1.51E-05,0.00173913,9.09E-14,4.57E-06,6.27E-20,0.001640663,0.039183105,6.06E-06,2.48E-05,9.79E-71,0.000209045,0.000468351,0.000869101,0
1,1,1,0,1,2,0,0,1,0,0,0.025641026,0,0,6.10E-16,3.46E-08,0,0.000886806,0.002304889,0,0,2.41E-74,9.20E-05,0,0.000691652,0
1,3,3,1,0,3,0,0,1,0,0,0.051282051,0,0,6.10E-16,3.48E-08,0,0.000886806,0.246033448,0,0,2.41E-74,0.000934675,0,0.000691652,0
3,4,4,1,0,5,0,0,3,0,0,0.051282051,0,0,6.10E-16,3.49E-21,0,0.000886806,0.249356775,0,0,2.41E-74,0.000934174,0,0.000691652,0
3,4,4,1,0,5,0,0,3,0,0,0,0,0,6.10E-16,0,0,0.000886806,0.241691681,0,0,2.41E-74,0.00093391,0,0.000691652,0
11,12,11,1,1,13,0,0,11,0,2,0.128205128,0,0,6.10E-16,1.63E-21,0,0.000886806,0.155231561,0,0,2.41E-74,0.002531912,0,0.000691652,0
2,7,3,0,1,13,3,1,2,0,11,0,0,0.005217391,2.72E-13,0,-1.11E-18,0.003148377,0.142581475,0.001037722,0.000680529,3.22E-71,0.00317172,8.99E-07,0.001612335,0
4,2,2,0,2,4,0,0,4,0,5,0,0,0,6.10E-16,0,0,0.000886806,0,0,0.003596844,1.49E-49,0,3.95E-06,0.002096198,0
