NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
0,1,1,0,0,2,1,0,0,2,2,0.790927022,1.98E-06,0.003955012,4.60E-14,5.57E-06,0.000620179,0.00039866,0.244021887,0.000168462,0.013554274,1.15E-05,8.63E-08,8.73E-06,0.000270029,0
0,1,1,0,0,2,1,0,0,2,2,0.790927022,1.98E-06,0.003955012,4.60E-14,5.57E-06,0.000620179,0.00039866,0.244021887,0.000168462,0.013554274,1.15E-05,8.63E-08,8.73E-06,0.000270029,0
1,4,3,1,1,5,1,0,1,2,5,0.662721893,1.10E-05,0.003955012,4.60E-14,7.66E-05,0.000620179,0.00039866,0.280752139,0.000839463,0.013569383,1.15E-05,0.000190715,8.73E-06,0.000270029,0
5,19,19,1,0,13,1,0,3,1,19,0.518737673,2.71E-05,0.003955012,4.60E-14,0.000433903,0.000620179,0.00039866,0.171075305,0.003329237,0.013557785,1.13E-05,5.43E-05,1.59E-05,0.000524025,0
11,26,26,6,11,10,7,1,7,16,26,0.530571992,0.000463271,0.007786429,1.03E-14,0.000395773,0.00066757,0.00220725,0.232776082,0.000957097,0.014616242,4.36E-05,0.000425562,0.00024517,0.001058985,0
0,6,5,0,0,4,5,5,0,6,19,0.654832347,0,0.005561735,8.41E-16,6.08E-06,7.62E-06,0.001164475,0.330874573,0,0.013343514,2.37E-05,1.39E-06,0.000154736,0.000599158,0
3,9,9,1,1,10,0,0,3,1,17,0.656804734,0,0,7.25E-18,6.15E-06,0,0.000372591,0.218809517,0,0.010264041,3.31E-05,0.000384789,0.000173237,0.000258172,0
0,1,1,0,0,5,0,0,0,0,6,0.656804734,0,0,7.25E-18,6.15E-06,0,0.000372591,0.250914477,0.001589451,0.015783214,2.37E-06,6.75E-07,1.24E-05,0.000230097,0
0,2,2,0,0,5,0,0,0,0,11,0.656804734,0,0,7.25E-18,6.15E-06,0,0.000372591,0.170833459,0.002336486,0.015780359,2.37E-06,0.000127455,1.24E-05,0.000230097,0
0,3,3,0,0,5,0,0,0,0,14,0.656804734,0,0,7.25E-18,6.15E-06,0,0.000372591,0.193869222,0.000728249,0.015780359,2.37E-06,0.000161886,1.24E-05,0.000230097,0
0,5,5,0,0,5,0,0,0,0,15,0.656804734,0,0,7.25E-18,6.15E-06,0,0.000372591,0.220683818,0.000220488,0.015776554,2.37E-06,8.49E-05,1.24E-05,0.000230097,1
5,3,3,0,0,16,0,0,2,0,8,0.528599606,0,0,7.25E-18,0.002659252,0,0.000372591,0.162973488,0.010330706,0.016449817,0.000226081,0.00179736,4.01E-05,0.00027055,0
2,4,4,0,0,7,6,0,2,0,5,0.644970414,0,0.006674082,1.01E-15,2.59E-06,0.000283241,0.001016657,0.226669488,0,0.001112347,6.24E-37,2.59E-07,0.000108889,0.000353505,0
1,4,4,1,0,7,0,0,1,0,7,0.644970414,0,0,7.25E-18,2.59E-06,0,0.000372591,0.207805556,1.61E-05,0.000665329,4.29E-37,0.000379785,3.93E-05,0.000261067,0
0,4,3,0,0,6,0,0,0,0,8,0.646942801,0,0,7.25E-18,5.18E-06,0,0.000372591,0.209407781,1.11E-05,0.000447737,1.71E-37,0.001779136,1.05E-05,0.00026739,0
1,3,3,0,0,7,0,0,1,0,6,0.642998028,0,0,7.25E-18,3.41E-05,0,0.000372591,0.198585205,1.24E-06,0.000350691,6.79E-38,0.000385817,4.90E-05,0.000247702,0
0,2,2,0,0,3,0,0,0,0,2,0.646942801,0,0,7.25E-18,5.18E-06,0,0.000372591,0.210798392,4.13E-07,0.000647184,4.29E-37,0.000431616,3.93E-05,0.000261067,0
5,4,4,0,0,10,0,0,4,0,9,0.629191321,0,0,7.25E-18,0.000969523,0,0.000372591,0.183258261,0.000116231,0.000757343,5.91E-37,0.002198556,4.32E-05,0.000280768,0
5,4,4,0,0,9,0,0,3,0,9,0.639053254,0,0,7.25E-18,6.50E-05,0,0.000372591,0.204842952,3.72E-05,0.000515871,4.06E-37,0.00014471,6.97E-05,0.000269412,0
3,4,4,0,0,9,0,0,3,0,7,0.639053254,0,0,7.25E-18,6.50E-05,0,0.000372591,0.180567732,4.13E-06,0.000647184,4.29E-37,0.000332265,3.93E-05,0.000261067,0
7,4,2,0,0,19,8,0,6,0,8,0.518737673,0.000429951,0.008898776,1.23E-14,0.00357957,0.000284526,0.002197724,0.190483388,0.001057845,0.001423804,1.08E-36,0.001425535,0.000130147,0.000672371,0
0,4,2,0,2,5,0,0,0,0,4,0.009861933,0,0,7.25E-18,0.002074849,0,0.000372591,0.419934097,0.000849744,0.020314579,0.019055637,0.000188427,0.000290027,0.0008487,0
2,5,5,1,3,1,4,0,1,4,4,0,0,0.003337041,5.07E-16,0,0.00102981,0.000900514,0,0,0.017716707,0.001310704,0,0.000109016,0.001279013,0
1,3,3,0,2,3,0,0,1,0,3,0.001972387,0,0,7.25E-18,9.39E-06,0,0.000372591,0.000362768,0,0.000139043,3.21E-82,3.72E-07,6.50E-05,0.000243285,0
2,3,2,0,0,5,0,0,2,0,1,0.009861933,0,0,7.25E-18,0.002074849,0,0.000372591,0.438888721,0,0,1.11E-84,0.000375764,0,0.000227937,0
4,2,1,0,0,3,0,0,1,0,2,0.001972387,0,0,7.25E-18,9.91E-22,0,0.000372591,0.002025454,0,0,1.11E-84,6.71E-07,0,0.000227937,0
0,1,1,0,0,2,1,0,0,0,1,0,0,0.001112347,1.74E-16,0,1.09E-19,0.000689345,0,0,4.84E-05,9.22E-82,0,5.31E-08,0.000294454,0
0,7,6,0,5,6,0,0,0,0,13,0,0,0,7.25E-18,0,0,0.000372591,0,0,0.019758436,0.00709396,0,4.57E-05,0.003731958,0
16,2,0,1,0,3,0,0,1,0,2,0.771203156,0,0,7.25E-18,9.34E-07,0,0.000372591,0.391607969,0,0,1.11E-84,1.45E-06,0,0.000227937,0
4,14,12,4,1,8,0,0,2,0,15,0.639053254,0,0,7.25E-18,5.37E-05,0,0.000372591,0.290335258,0,0,1.11E-84,0.000448105,0,0.000227937,0
1,8,8,0,0,2,0,0,0,0,7,0.637080868,0,0,7.25E-18,5.13E-05,0,0.000372591,0.230539013,0,0,1.11E-84,0.000746608,0,0.000227937,0
1,6,1,0,1,9,0,0,1,0,23,0.546351085,0,0,7.25E-18,0.000374535,0,0.000372591,0.245745035,0,0,1.11E-84,0.000498078,0,0.000227937,0
2,6,1,0,1,8,0,0,2,0,11,0.293885602,0,0,7.25E-18,0.0009895,0,0.000372591,0.278152302,0,0,1.11E-84,0.000115792,0,0.000227937,0
1,4,1,0,1,4,0,0,1,0,5,0.729783037,0,0,7.25E-18,0.00296063,0,0.000372591,0.21757006,0.000291093,0.000776804,2.07E-33,0.00077172,0.00020162,0.000235078,0
23,18,2,7,3,9,10,0,7,0,18,0.394477318,0.000673044,0.011123471,1.67E-15,0.001240882,0.005132969,0.001684856,0.203210496,0.00076799,0.000671381,1.24E-33,0.004939378,0.000909947,0.00097137,0
0,2,1,1,0,3,0,0,0,0,1,0.522682446,0,0,7.25E-18,0.002328181,0,0.000372591,0.234227153,2.76E-05,0.000734323,1.63E-34,0.001050495,5.31E-06,0.000233993,0
0,1,1,0,0,2,0,0,0,0,0,0.528599606,0,0,7.25E-18,0.002102883,0,0.000372591,0.268055262,1.24E-05,0.000709384,3.25E-34,0.000760334,1.06E-05,0.000240048,0
1,1,1,0,0,2,0,0,0,0,0,0.528599606,0,0,7.25E-18,0.002102883,0,0.000372591,0.268962181,0.000213675,0.000786555,1.63E-34,0.000647817,5.31E-06,0.000233993,0
0,1,1,0,0,2,0,0,0,0,0,0.528599606,0,0,7.25E-18,0.002102883,0,0.000372591,0.234408537,2.79E-05,0.000734323,1.63E-34,0.000516219,5.31E-06,0.000233993,0
0,1,1,0,0,2,0,0,0,0,0,0.528599606,0,0,7.25E-18,0.002102883,0,0.000372591,0.328728196,3.10E-07,0.00078986,1.63E-34,0.002908598,5.31E-06,0.000233993,0
0,1,1,0,0,2,0,0,0,0,0,0.528599606,0,0,7.25E-18,0.002102883,0,0.000372591,0.22630672,7.12E-05,0.000734323,1.63E-34,0.001083476,5.31E-06,0.000233993,0
0,2,1,1,0,3,0,0,0,0,1,0.522682446,0,0,7.25E-18,0.002328181,0,0.000372591,0.303908824,0,0.000828135,1.63E-34,0.001211334,5.31E-06,0.000233993,0
0,1,1,0,0,2,0,0,0,0,0,0.528599606,0,0,7.25E-18,0.002102883,0,0.000372591,0.232624928,3.47E-05,0.000734323,1.63E-34,0.000440614,5.31E-06,0.000233993,0
0,1,1,0,0,3,1,0,0,1,0,0.570019724,3.78E-07,0.003089853,8.90E-08,0.002168859,1.79E-05,0.000422382,0.217297984,4.13E-07,0.000267391,1.97E-42,8.37E-05,2.66E-06,0.000259847,0
1,19,17,0,1,20,5,0,1,0,18,0.426035503,0.00047442,0.005561735,1.54E-07,7.24E-05,0.002725722,0.000995638,0.1511533,0.000795861,0.000289674,6.78E-42,0.000193031,0.00014517,0.000694516,0
3,4,4,3,0,3,1,0,1,1,2,0.007889546,3.78E-07,0.003640409,8.90E-08,0.002144014,1.79E-05,0.000422382,0.416790109,0,0.000333704,1.97E-42,0.000135264,2.66E-06,0.000259847,0
4,5,5,4,0,3,1,0,1,1,2,0.007889546,3.78E-07,0.003640409,8.90E-08,0.002144014,1.79E-05,0.000422382,0.416790109,0,0.000333704,1.97E-42,0.000135264,2.66E-06,0.000259847,0
