NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,Barycenter,Betweenness,Closeness,Eigenvector,HITS.hub,HITS.authority,PageRank,Barycenter-W,Betweenness-W,Closeness-W,Eigenvector-W,HITS.hub-W,HITS.authority-W,PageRank-W,KeyDesign
0,1,1,0,0,2,0,0,0,0,1,0,0,0,2.29E-53,0,0,0.000396304,0,0,0.000662385,1.60E-31,0,1.97E-161,0.000308707,0
0,5,5,0,0,5,0,0,0,0,8,0,0,0,2.29E-53,0,0,0.000396304,0,0,0.000662385,1.60E-31,0,1.97E-161,0.000308707,0
0,1,0,0,0,2,0,0,0,0,1,0,0,0,2.29E-53,0,0,0.000396304,0,0,0.000304125,1.15E-30,0,1.42E-160,0.000501855,0
3,7,3,0,0,5,0,0,3,0,8,0,0,0,2.29E-53,0,0,0.000396304,0,0,0.000290265,3.24E-31,0,1.06E-161,0.000406144,0
1,2,1,0,0,3,0,0,1,0,2,0,0,0,2.29E-53,0,0,0.000396304,0.006834428,1.52E-05,0.000296359,2.29E-31,8.85E-164,7.46E-162,0.000368324,0
3,3,0,0,1,7,0,1,3,0,4,0,0,0,2.29E-53,0,0,0.000396304,0.006912878,2.95E-05,0.000363384,7.68E-31,1.01E-161,9.45E-161,0.000427088,0
3,4,1,0,0,5,0,1,3,0,2,0,0,0,2.29E-53,0,0,0.000396304,0.007545098,0,0.000433306,5.44E-31,5.00E-163,6.69E-161,0.000383474,0
2,7,6,2,0,5,0,1,2,0,3,0.00422833,0,0,2.29E-53,4.51E-21,0,0.000396304,0.00749895,0,0.000370171,7.68E-31,5.76E-161,9.45E-161,0.000427088,0
14,3,1,0,0,26,0,0,9,0,0,0.002114165,0,0,2.29E-53,4.53E-20,0,0.000396304,0.005902251,0.000198819,0.000733945,1.29E-30,6.41E-161,4.31E-161,0.001400134,0
11,21,17,1,5,4,2,2,2,0,6,0,0,0.001834862,3.28E-51,0,7.64E-20,0.00067709,0,0,0.000175984,1.25E-30,0,6.64E-156,0.000611909,0
2,33,32,10,13,6,4,1,2,8,20,0.001409443,4.21E-06,0.003669725,6.54E-51,-1.11E-20,-2.59E-20,0.000957876,0.001255209,1.94E-05,0.000622207,1.22E-30,4.11E-155,5.50E-156,0.000753004,0
36,9,9,0,5,4,1,1,2,4,4,0.000704722,0,0.00254842,2.30E-49,-1.06E-20,-2.01E-20,0.000803532,7.38E-05,0,8.32E-05,7.05E-30,4.93E-157,5.86E-154,0.000823644,0
0,3,3,0,0,5,0,0,0,0,5,0.003523608,0,0,2.29E-53,-1.07E-20,0,0.000396304,0.001449028,0,0,4.52E-66,5.58E-157,0,0.000277554,0
9,18,18,3,2,9,0,0,3,0,6,0.003523608,0,0,2.29E-53,-9.15E-21,0,0.000396304,0.001873584,4.80E-05,0.000362752,7.64E-31,1.13E-156,9.14E-159,0.000406103,0
8,14,13,2,1,5,0,0,1,0,4,0.00422833,0,0,2.29E-53,1.41E-21,0,0.000396304,0.001485946,0,0,4.52E-66,5.08E-157,0,0.000277554,0
25,52,52,20,25,5,2,2,3,1,51,0.001409443,1.68E-06,0.001834862,3.28E-51,-1.71E-22,-5.50E-21,0.000800636,0.00017536,0,7.13E-06,4.48E-60,7.50E-111,2.05E-107,0.000706168,0
8,14,14,7,7,3,2,0,3,3,12,0,0,0.00206422,1.17E-49,0,-3.07E-21,0.000804068,0,0,0.000183486,5.72E-58,0,8.62E-109,0.000595528,0
5,10,10,3,5,5,1,0,2,1,10,0,0,0.000917431,1.65E-51,0,-4.21E-21,0.000463692,0,0,5.73E-05,1.60E-63,0,6.08E-109,0.000286235,0
35,72,50,36,0,15,0,0,7,0,47,0.003523608,0,0,2.29E-53,-5.60E-22,0,0.000396304,0.00150902,0,0,4.52E-66,2.26E-108,0,0.000277554,0
2,5,5,2,2,1,1,0,1,1,4,0,0,0.000917431,1.65E-51,0,-4.21E-21,0.000463692,0,0,0.000152905,6.01E-64,0,2.28E-109,0.000280809,0
4,14,2,1,0,10,0,0,3,0,25,0.003523608,0,0,2.29E-53,-1.54E-22,0,0.000396304,0.001241365,8.42E-07,5.40E-05,1.69E-63,1.50E-108,6.46E-109,0.000286777,0
9,16,16,8,8,2,2,0,2,3,16,0,0,0.00206422,1.17E-49,0,-3.07E-21,0.000804068,0,0,0.000235911,5.72E-58,0,4.83E-109,0.000590103,0
1,7,6,0,0,3,0,0,1,0,7,0.002818887,0,0,2.29E-53,7.43E-06,0,0.000396304,0.188618209,0,0.006749888,4.82E-08,1.45E-05,3.95E-07,0.000379786,0
4,1,0,0,0,7,4,0,4,0,5,0.411557435,6.74E-06,0.003669725,6.54E-51,2.02E-05,1.03E-05,0.000845561,0.16689202,0.001045484,0.009023418,2.28E-06,2.63E-05,6.39E-06,0.000367766,0
0,1,1,0,0,2,0,0,0,0,1,0,0,0,2.29E-53,0,0,0.000396304,0.188978158,1.85E-05,0.006857765,2.69E-07,2.62E-05,1.69E-05,0.00029499,0
4,7,2,0,0,10,1,1,3,0,11,0.426356589,0,0.041114837,0.00023904,8.40E-06,1.56E-06,0.000570986,0.162687993,0.000439227,0.008057072,2.17E-05,0.001920773,1.82E-05,0.000381405,0
2,2,1,0,1,5,0,0,1,0,3,0,0,0,2.29E-53,0,0,0.000396304,0.166264415,1.40E-05,0.006655739,1.43E-05,0.000430039,1.09E-05,0.000297038,0
0,2,2,0,0,2,0,0,0,0,2,0,0,0,2.29E-53,0,0,0.000396304,0.177593598,0,0.007414433,5.94E-06,0.000102189,4.52E-06,0.000285672,0
0,1,1,0,0,2,0,0,0,0,1,0,0,0,2.29E-53,0,0,0.000396304,0,0,0.007433859,5.94E-06,0,4.52E-06,0.000285672,0
0,3,3,0,0,2,0,0,0,0,3,0,0,0,2.29E-53,0,0,0.000396304,0.165692188,0.002848754,0.006853392,1.19E-05,0.000114682,9.05E-06,0.00029379,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29E-53,0,0,0.000396304,0,0,0.007433859,5.94E-06,0,4.52E-06,0.000285672,0
0,1,0,0,0,2,0,0,0,0,1,0,0,0,2.29E-53,0,0,0.000396304,0.161940405,6.82E-05,0.00741492,5.94E-06,0.000109242,4.52E-06,0.000285672,0
7,17,15,0,4,19,2,2,6,2,17,0.421423538,0.001103451,0.047598253,0.000997114,8.49E-06,4.55E-05,0.000821456,0.148603811,0.006452824,0.0080611,0.000956507,0.001026076,0.00085095,0.000641546,0
0,3,2,0,0,5,0,0,0,0,5,0.4136716,0,0,2.29E-53,1.40E-05,0,0.000396304,0.152189463,0.000274359,0.010176417,9.73E-05,0.000288033,8.39E-05,0.000291444,0
